,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.316227766016838,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.316227766016838,-3.0,-2.4123105625617662,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.4123105625617662,-3.0,-2.73824115301167,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.73824115301167,-3.0,-2.8381527307120105,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.8381527307120105,-3.0,-2.608276253029822,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.608276253029822,-3.0,-2.618465843842649,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.618465843842649,-3.0,-2.6800735254367725,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.6800735254367725,-3.0,-2.447213595499958,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958
1,-3.0,-2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.316227766016838,-3.0,-2.316227766016838,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.4123105625617662,-3.0,-2.4123105625617662,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.73824115301167,-3.0,-2.73824115301167,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.8381527307120105,-3.0,-2.8381527307120105,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.608276253029822,-3.0,-2.608276253029822,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.618465843842649,-3.0,-2.618465843842649,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.6800735254367725,-3.0,-2.6800735254367725,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
2,-3.0,-3.0,-2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-2.316227766016838,-3.0,-2.316227766016838,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.4123105625617662,-3.0,-2.4123105625617662,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.73824115301167,-3.0,-2.73824115301167,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.8381527307120105,-3.0,-2.8381527307120105,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.608276253029822,-3.0,-2.608276253029822,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.618465843842649,-3.0,-2.618465843842649,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.6800735254367725,-3.0,-2.6800735254367725,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
3,-3.0,-3.0,-3.0,-2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-2.0,-2.316227766016838,-3.0,-2.316227766016838,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.4123105625617662,-3.0,-2.4123105625617662,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.73824115301167,-3.0,-2.73824115301167,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.8381527307120105,-3.0,-2.8381527307120105,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.608276253029822,-3.0,-2.608276253029822,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.618465843842649,-3.0,-2.618465843842649,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.6800735254367725,-3.0,-2.6800735254367725,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958,-2.0,-2.0,-2.0,-2.0,-2.0
4,-3.0,-3.0,-3.0,-3.0,-2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-2.0,-2.0,-2.316227766016838,-3.0,-2.316227766016838,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.4123105625617662,-3.0,-2.4123105625617662,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.73824115301167,-3.0,-2.73824115301167,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.8381527307120105,-3.0,-2.8381527307120105,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.608276253029822,-3.0,-2.608276253029822,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.618465843842649,-3.0,-2.618465843842649,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.6800735254367725,-3.0,-2.6800735254367725,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958,-2.0,-2.0,-2.0,-2.0
5,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-3.0,-3.0,-3.0,-3.0,-2.0,-2.0,-2.0,-2.0,-2.316227766016838,-3.0,-2.316227766016838,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.4123105625617662,-3.0,-2.4123105625617662,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.73824115301167,-3.0,-2.73824115301167,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.8381527307120105,-3.0,-2.8381527307120105,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.608276253029822,-3.0,-2.608276253029822,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.618465843842649,-3.0,-2.618465843842649,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.6800735254367725,-3.0,-2.6800735254367725,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958,-2.0,-2.0,-2.0
6,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-3.0,-3.0,-3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.316227766016838,-3.0,-2.316227766016838,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.4123105625617662,-3.0,-2.4123105625617662,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.73824115301167,-3.0,-2.73824115301167,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.8381527307120105,-3.0,-2.8381527307120105,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.608276253029822,-3.0,-2.608276253029822,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.618465843842649,-3.0,-2.618465843842649,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.6800735254367725,-3.0,-2.6800735254367725,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958,-2.0,-2.0
7,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.316227766016838,-3.0,-2.316227766016838,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.4123105625617662,-3.0,-2.4123105625617662,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.73824115301167,-3.0,-2.73824115301167,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.8381527307120105,-3.0,-2.8381527307120105,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.608276253029822,-3.0,-2.608276253029822,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.618465843842649,-3.0,-2.618465843842649,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.6800735254367725,-3.0,-2.6800735254367725,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958,-2.0
8,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.316227766016838,-3.0,-2.316227766016838,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.4123105625617662,-3.0,-2.4123105625617662,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.73824115301167,-3.0,-2.73824115301167,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.8381527307120105,-3.0,-2.8381527307120105,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.608276253029822,-3.0,-2.608276253029822,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.618465843842649,-3.0,-2.618465843842649,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.6800735254367725,-3.0,-2.6800735254367725,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958
9,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-2.316227766016838,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.316227766016838,-3.0,-2.4123105625617662,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.4123105625617662,-3.0,-2.73824115301167,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.73824115301167,-3.0,-2.8381527307120105,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.8381527307120105,-3.0,-2.608276253029822,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.608276253029822,-3.0,-2.618465843842649,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.618465843842649,-3.0,-2.6800735254367725,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.6800735254367725,-3.0,-2.447213595499958,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0,-2.447213595499958,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.447213595499958,-3.0
